Endret dato,Dok # Dokumentnavn,Forfatternavn,Applikasjon
30.01.2015,40149 Høring - Forslag til endringer i forskrift om Lånekassens adgang,Torgunn Kveberg,MS OUTLOOK
,"til innhenting av opplysninger, Kunnskapsdepartementet 28.1.15",,
