,SiOs postliste 28.10.13 - 03.11.13,,
Endret dato,Dok # Dokumentnavn,Applikasjon,Forfatternavn
01.11.2013,33181 Eksamenskampanje høst 2013,MS WORD,Lene Kvale
30.10.2013,"33141 Invitasjon til økonomiseminar 29. november 2013 på Gardermoen, k",ACROBAT,Hege Damm Schwarz
,unnskapsdepartementet 28.10.13,,
28.10.2013,33093 Høring av forslag til endringer i barnehageloven - Utvidelse av retten,ACROBAT,Hege Damm Schwarz
,til barnehageplass og innføring av minimum to årlige barnehageoppt,,
,"ak, Kunnskapsdepartementet 14.10.13",,
28.10.2013,33107 Frysekontainer Kringsjå. Tillatelse til tiltak - Olav M. Troviks vei 9,MS OUTLOOK,Mattis Schrøder
28.10.2013,"33087 Vedrørende søknadsmulighet for tilskudd til studentboligbygging, ku",ACROBAT,Hege Damm Schwarz
,nnskapsdepartementet 24.10.13,,
