,SiOs postliste 25.04.13 - 03.03.13,,
Endret dato,Dok # Dokumentnavn,Applikasjon,Forfatternavn
27.02.2013,29138 Tinglyst avtale om parkering Bjerke,ACROBAT,Tom Tørnquist
25.02.2013,29085 EuroPark. Avtale Sandakerveien 99. febr. 2013 til,MS OUTLOOK,Mattis Schrøder
,31.12.2017,,
25.02.2013,"29089 Tilsagn om tilskudd til studentboliger for 2013, Kun",ACROBAT,Hege Damm Schwarz
,nskapsdepartementet,,
25.02.2013,"29091 Oversendelse av publikasjon ""Satsning på barn og",ACROBAT,Hege Damm Schwarz
,ungdom. Regjeringens mål og innsatsområder i st,,
,"atsbudsjettet 2013"", Likestillings og inkluderingsde",,
,partementet,,
