,SiOs postliste 16.12.13 - 22.12.13,,
Endret dato,Dok # Dokumentnavn,Applikasjon,Forfatternavn
20.12.2013,"34141 Melding om tilsyn, Arbeidstilsynet",ACROBAT,Grethe Røsok
20.12.2013,34152 brev quality broker 20.12.13,ACROBAT,Inger Hegstad Krüger
19.12.2013,34106 Supplerende tilskuddsbrev - Statsbudsjettet 2013 - Kap. 270 post 74,ACROBAT,Hege Damm Schwarz
,"- Tilskudd til samskipnadene, Kunnskapsdepartementet 18.12.13",,
16.12.2013,"33998 Referat fra arbeidsmøte om studentboligbygging 5.12.13, Kunnskaps",ACROBAT,Hege Damm Schwarz
,departementet,,
16.12.2013,33999 Referat fra arbeidsmøte om studentboligbygging 5.12.13. Kunnskaps,ACROBAT,Hege Damm Schwarz
,departementet,,
