,SiOs postliste 21.10.13 - 27.10.13,,
Endret dato,Dok # Dokumentnavn,Applikasjon,Forfatternavn
25.10.2013,33064 Brev fra Diagonale,ACROBAT,Trond Bakke
24.10.2013,33052 Ferdigattest Jon P. Erliens vei 1,ACROBAT,Trond Bakke
24.10.2013,33054 Prosjekt 274 OMT 12-14 - Igangsettingstillatelse,ACROBAT,Tom Tørnquist
23.10.2013,33041 1_Rammetillatelse bygg. Modulbygg. disp. i 5 år,ACROBAT,Mattis Schrøder
