,SiOs postliste 11.11.13 - 17.11.13,,
Endret dato,Dok # Dokumentnavn,Applikasjon,Forfatternavn
13.11.2013,33388 1_Oversendelse av referat fra oppstartsmøte.PDF,ACROBAT,Trond Bakke
13.11.2013,33389 2_Referat fra oppstartsmøte.PDF,ACROBAT,Trond Bakke
13.11.2013,33390 3_Varslingsliste Regulering Kringsjå.PDF,ACROBAT,Trond Bakke
13.11.2013,"33359 Innkalling til sameiemøte 2012. Sameiet Storgata 39-41, Kongsvinge",MS WORD,Mattis Schrøder
,r,,
13.11.2013,"33360 Protokoll fra sameiemøtet 5.12.2013. Sameiet Storgata 39-41, Kong",MS WORD,Mattis Schrøder
,svinger,,
12.11.2013,33352 Brev fra Byrådsavdelingen til PBE om regulering Sandakerveien 99,ACROBAT,Trond Bakke
