,SiOs postliste 17.03.14 - 23.03.14,,
Endret dato,Dok # Dokumentnavn,Applikasjon,Forfatternavn
19.03.2014,"35613 Tilsagn om tilskudd til studentboligbygging for 2014, Kunnskapsdepa",ACROBAT,Hege Damm Schwarz
,rtementet 18.3.14,,
19.03.2014,"35614 Statsbudsjettet for 2014, kap. 270 post 75 - Tilskudd til bygging av st",ACROBAT,Hege Damm Schwarz
,"udentboliger, Kunnskapsdepartementet 17.3.14",,
17.03.2014,"35560 Vedrørende spørsmål knyttet til uttaksmerverdiavgift, kunnskapsdep",ACROBAT,Hege Damm Schwarz
,artementet 14.3.14,,
17.03.2014,"35561 Uttaksmerverdiavgift, brev kunnskapsdepartementet, finansdepartem",ACROBAT,Hege Damm Schwarz
,entet 10.3.14,,
17.03.2014,"35529 årsregnskap 2013, uttalelse fra ledelsen",MS WORD,Inger Hegstad Krüger
