Dok # Dokumentnavn,Virksomhet,Retning,Opprettet dato,Dok. dato
10408 Forkynning av beslutning fra Forliksrådet,KS,INN,25.10.2010,15.10.2010
10409 239 Vestgrensa gang- sykkelvei syd,SE,INN,25.10.2010,25.10.2010
10411 Klage - 2010057245,SB,INN,26.10.2010,
10412 Klage - 2010057246,SB,INN,26.10.2010,
10414 Klage - 2010057248,SB,INN,26.10.2010,
10453 Klage - 2010057307,SB,INN,27.10.2010,
10513 Klage 2010057393,SB,INN,28.10.2010,
10454 Klage 2010057311,SB,INN,27.10.2010,
"10371 Prosjekt 294, PIL 36 Generaloppussing, Notat fra InSitu as til Hafslund Nett SE",,INN,25.10.2010,
"10372 Prosjekt 294, PIL 36 Generaloppussing Snitt utomhus",SE,INN,25.10.2010,
"10373 Prosjekt 294, PIL 36 Generaloppussing Utomhusplan rev. 22.10.2010",SE,INN,25.10.2010,
10480 PPØ årsmøte - forslag 3 om kildesorteringen,SE,INN,27.10.2010,27.10.2010
10481 PPØ - dokumenter om vannledningsnett,SE,INN,27.10.2010,19.10.2010
10394 Studentliv og nettfunksjonalitet oktober 2010 til Bekk,SL,UT,25.10.2010,
10402 Tilbudsforespørsel til Bekk om utvikling av nettfunksjonalitet,SL,UT,25.10.2010,
10423 2010057248 - Varsel 1 husbråk RES 30 - 2010-10-25,SB,UT,26.10.2010,25.10.2010
10459 Avslag ny leiekontrakt,SB,UT,27.10.2010,
"10477 Bestilling, GK, Vestgrensa 1, kompressor",SB,UT,27.10.2010,28.10.2010
