Doc #	Endret dato	Tittel	Saksbehandler	Applikasjon	List Title
47032	02.01.2017	Svar på henvendelse/ytterligere spørsmål til S.E.Nilsen 20.12.2016	Torgunn Kveberg	ACROBAT	
47083	06.01.2017	Etablering og oppnevning av medlemmer til rådsfunksjon for samfunnssikkerhet og beredskap, Kunnskapsdepartementet 4.1.17	Torgunn Kveberg	MS OUTLOOK	
47090	09.01.2017	2_Innsigelse trekkes.pdf	Trond Bakke	ACROBAT	
47155	12.01.2017	Brev fra NRK lisensavdeling av 11.1.2017 bekreftelse på oppsigelseav lisens	Torgunn Kveberg	ACROBAT	
47161	13.01.2017	Statsbudsjettet 2017 Kap. 270 post 74 Tilskudd til studentsamskipnadene, Kunnskapsdepartementet 12.1.17	Torgunn Kveberg	MS OUTLOOK	
47204	18.01.2017	Vedrørende årsrapportering for 2016, Kunnskapsdepartementet 18.1.17	Torgunn Kveberg	MS OUTLOOK	Postliste SiO uke 3 2017.pdf
47484	13.02.2017	Brenneriveien 11 Referat fra kartog bestemmelsesmøte 19.1.2017,PBE 10.2.17	Torgunn Kveberg	MS OUTLOOK	
47486	13.02.2017	Endring av kontaktperson	Nina Langeland	MS OUTLOOK	
47676	02.03.2017	Trimveien 4 Innspill til planarbeid,PBE 1.3.17	Torgunn Kveberg	MS OUTLOOK	Postliste SiO uke 9 2017.pdf
47889	20.03.2017	Blindernveien 6, Blindern Referat fra møte om mulig omforent alternativ, PBE 20.3.17	Torgunn Kveberg	MS OUTLOOK	
47926	21.03.2017	Invitasjon til felles semesterstartarrangement for nye studenter	Nina Langeland	MS OUTLOOK	
47953	22.03.2017	Forhåndsinformasjon om Studentenes Helse og Trivselsundersøkelse (SHoT) 2018	Nina Langeland	MS OUTLOOK	
47981	24.03.2017	Søknad fra NSO om økonomisk støtte til bok om studentbevegelsens historie, 13.2.17	Torgunn Kveberg	MS OUTLOOK	
48051	30.03.2017	Brev til UiO vedr nedlegging av serveringssted, 29.3.17	Torgunn Kveberg	ACROBAT	
48062	31.03.2017	SV: Henvendelser vedr. husleieloven § 11 2	Nina Langeland	MS OUTLOOK	
48102	05.04.2017	Blindernveien 6, Blindern Referat fra møte om justert planforslag 7.3.2017, PBE 3.4.17	Torgunn Kveberg	MS OUTLOOK	
48121	07.04.2017	Høringsinnspill til forslag om regulering av Fornebubanen, brev til Oslokommune v/PBE 6.4.2017	Torgunn Kveberg	ACROBAT	
48180	19.04.2017	Blindernveien 6, Blindern Referat fra møte om rekkefølgebestemmelser med mer 14.2.2017, PBE 19.4.17	Torgunn Kveberg	MS OUTLOOK	Postliste SiO uke 16 2017.pdf
48255	26.04.2017	Brenneriveien 11, Grünerløkka Behov for tilleggsopplysninger, PBE 24.4.17	Torgunn Kveberg	MS OUTLOOK	
48284	28.04.2017	Forespørsel om hilsen fra ordføreren til Oslos studenter	Nina Langeland	MS OUTLOOK	
48297	02.05.2017	Søknad om omdisponering av tilsagn om tilskudd til studentboligbygging, brev til Kunnskapdsdepartementet 26.4.2017	Kristoffer Askhaven	ACROBAT	
48298	02.05.2017	Semestermerker_høsten_2017	Nina Langeland	MS WORD	
48415	18.05.2017	Omdisponering av tilsagn om tilskudd til studentboligbygging, Kunnskapsdepartementet 15.5.17	Torgunn Kveberg	MS OUTLOOK	Postliste SiO uke 20 2017.pdf
48467	29.05.2017	Hilsen fra ordfører Marianne Borgen	Nina Langeland	MS OUTLOOK	Postliste SiO uke 22 2017.pdf
48553	06.06.2017	Angående medlemskap i SiO	Nina Langeland	MS OUTLOOK	Postliste SiO uke 23 2017.pdf
48657	20.06.2017	Omdisponering av gitte tilsagn om tilskudd til studentboligbygging, Kunnskapsdepartementet 16.6.17	Torgunn Kveberg	MS OUTLOOK	
48661	20.06.2017	Leierettsbevis i studentbyen på Sogn, brev fra Oslo kommune v/byrådsavdeling for finans 8.6.17	Torgunn Kveberg	ACROBAT	
48668	21.06.2017	Leierettsbevis i studentbyen på Sogn, brev til Oslo kommune v/byrådsavdeling for finans 21.6.17	Torgunn Kveberg	ACROBAT	
49620	29.06.2017	Høring Forslag om ny lov om fagskoleutdanning og endringer i studentsamskipnadsloven, Kunnskapsdepartementet 28.6.17	Torgunn Kveberg	MS OUTLOOK	
49621	29.06.2017	Trimveien 4, Gaustad Forslag til detaljregulering oversendt til politiskbahandling, PBE 28.6.17	Torgunn Kveberg	MS OUTLOOK	
49622	29.06.2017	Blindernveien 6, Blindern Referat fra bemerkningsmøte 21.6.2017, PBE 26.6.17	Torgunn Kveberg	MS OUTLOOK	
49660	04.07.2017	Høring Rapport fra gjennomgangav tilskuddsordningen for private høyskoler, Kunnskapsdepartementet3.7.17	Torgunn Kveberg	MS OUTLOOK	Postliste SiO uke 27 2017.pdf
49886	25.08.2017	Høring Endringer i arb.miljølovenom deltidsansattes fortrinnsrett og rettskraft for Tvisteløsningsnemndasavgjørelser, e post fra Spekter 25.8.17	Torgunn Kveberg	MS OUTLOOK	Postliste SiO uke 34 2017.pdf
49971	05.09.2017	Høring Forslag til ny forskrift om private universiteter, høyskoler og fagskoler; krav til regnskap mv., Kunnskapsdepartementet 4.9.17	Torgunn Kveberg	MS OUTLOOK	
49996	07.09.2017	Brev fra Datatilsynet av 31.08.2017Vedtak personvernombud SiO, fritak fra meldeplikten	Torgunn Kveberg	ACROBAT	
50067	18.09.2017	Høring Endring i forskrift om dokumentasjon av byggevarer og byggevareforordningen, e post fra Direktoratet for byggkvalitet 15.9.17	Torgunn Kveberg	MS OUTLOOK	
50069	18.09.2017	Olav M. Troviks vei 38 44, Avtaleom forhåndskonferanse 29.9.2017,PBE 18.9.17	Torgunn Kveberg	MS OUTLOOK	
50146	26.09.2017	Rekkefølgebestemmelser Blindernveien 6	Trond Bakke	MS WORD	
50190	29.09.2017	Høring Endringer i fagskoleloven, Kunnskapsdepartementet 28.9.17	Torgunn Kveberg	MS OUTLOOK	
50267	09.10.2017	Brenneriveien 11 Kunngjøring omoffentlig ettersyn Del 1 av 5, PBE5.10.17	Torgunn Kveberg	MS OUTLOOK	
50268	09.10.2017	Brenneriveien 11 Kunngjøring omoffentlig ettersyn Del 2 av 5, PBE5.10.17	Torgunn Kveberg	MS OUTLOOK	
50269	09.10.2017	Brenneriveien 11 Kunngjøring omoffentlig ettersyn Del 3 av 5, PBE5.10.17	Torgunn Kveberg	MS OUTLOOK	
50270	09.10.2017	Brenneriveien 11 Kunngjøring omoffentlig ettersyn Del 4 av 5, PBE5.10.17	Torgunn Kveberg	MS OUTLOOK	
50271	09.10.2017	Brenneriveien 11 Kunngjøring omoffentlig ettersyn Del 5 av 5, PBE5.10.17	Torgunn Kveberg	MS OUTLOOK	
50272	09.10.2017	Brenneriveien 11 Informasjon om feil i reg.bestemmelsene for alt 1 ved kunngjøring om offentlig ettersyn,PBE 6.10.17	Torgunn Kveberg	MS OUTLOOK	
50273	09.10.2017	Søknad om fritak fra tilknytning til SiO grunnet fusjon med VID vitenskapelige høgskole fra 010118, Kunnskapsdepartementet 9.10.17	Torgunn Kveberg	MS OUTLOOK	
50318	16.10.2017	Høyring Endringar i forskrift om tilbakebetaling av utdanningslån 2018, Kunnskapsdepartementet 13.10.17	Torgunn Kveberg	MS OUTLOOK	
50344	18.10.2017	Invitasjon til å søke om tilskudd til studentboligbygging for 2018, brev fra Kunnskapsdepartementet av 12.10.17	Torgunn Kveberg	MS OUTLOOK	
50367	19.10.2017	Høring Forslag til forskrift om tildeling av utdanningsstøtte for 2018 2019, Kunnskapsdepartementet 19.10.17	Torgunn Kveberg	MS OUTLOOK	
50368	19.10.2017	Rettelse til høring Forslag til forskrift om tildeling av utdanningsstøtte for 2018 2019, Kunnskapsdepartementet 19.10.17	Torgunn Kveberg	MS OUTLOOK	
50404	24.10.2017	Samskipnadenes innspill til regjeringsplattform 2017 2021, brev fra Kunnskapsdepartementet 20.10.17	Torgunn Kveberg	MS OUTLOOK	
50438	26.10.2017	Aksept av vilkår for tilskudd	Nina Langeland	MS OUTLOOK	
50485	01.11.2017	Trimveien 4, Gaustad Videre oppfølging av reguleringsforslaget, Oslo kommune v/byrådsavdeling for byutvikling 1.11.17	Torgunn Kveberg	MS OUTLOOK	Postliste SiO uke 44 2017.pdf
50546	10.11.2017	Olav M. Troviks vei 38 44, Referatfra forhåndskonferanse 29.9.2017,PBE 8.11.17	Torgunn Kveberg	MS OUTLOOK	Postliste SiO uke 45 2017.pdf
50562	15.11.2017	Vedr søknad om tilskudd til studentboligbygging 2018, Kunnskapsdepartementet 14.11.17	Helge Christian Haugen	ACROBAT	SiOs postliste 13.11. 19.11.2017
