Doc #	Endret dato	Tittel	Saksbehandler	Applikasjon	List Title
55649	02.01.2020 08:18:17	Navneendring - Studentsamskipnaden i Oslo og Akershus (SiO), Kunnskapsdepartementet 19.12.19	Torgunn Kveberg	MS OUTLOOK	
55653	02.01.2020 11:30:17	Planforslag offentlig ettersyn - Sognsveien 102, PBE 20.12.19	Torgunn Kveberg	MS OUTLOOK	
55665	06.01.2020 11:23:19	Brev til PBE , tomter regulert til boligformål - Kringsjå	Trond Bakke	ACROBAT	Postliste SiO uke 2 2020.pdf
55762	21.01.2020	Kartlegging av leiepriser på studentboliger med mer, NOKUT 20.1.2020	Torgunn Kveberg	MS OUTLOOK	
55765	21.01.2020 14:57:35	Informasjon om leieboerinnskudd i studentboliger, brev til Kunnskapsdepartementet 21.1.2020	Lisbeth Dyrberg	ACROBAT	
55772	22.01.2020 09:59:37	Kartlegging av leiepriser på studentboliger med mer, NOKUT 21.1.2020	Torgunn Kveberg	MS OUTLOOK	
55832	04.02.2020 14:39:17	Vedrørende årsrapportering for 2019, Kunnskapsdepartementet 4.2.20	Torgunn Kveberg	MS OUTLOOK	
55852	06.02.2020	Høyring rapport - Grønne indikatorerfor universitets- og høgskolesektoren, Diku - Direktoratet for internasjonalisering og kvalitetsutvikling i høyereutdanning 5.2.20	Torgunn Kveberg	MS OUTLOOK	
55897	13.02.2020 10:37:27	SV: Utvidet høringsfrist for Sognsveien 102	Trond Bakke	MS OUTLOOK	
55898	13.02.2020 10:52:08	Sognsveien 102 - Varsel om utvidethøringsfrist: Offentlig ettersyn av forslag til detaljregulering, PBE 13.2.20	Torgunn Kveberg	MS OUTLOOK	
55911	17.02.2020 08:32:03	Invitasjon til møte om St. Olavs gate32, Kommunal- og moderniseringsdepartementet 14.2.20	Torgunn Kveberg	MS OUTLOOK	
55912	17.02.2020 08:38:30	Invitasjon til oppstartsmøte om ny Veileder for overvann - Oslo kommune,PBE 14.2.20	Torgunn Kveberg	MS OUTLOOK	
55913	17.02.2020 09:29:46	NSO svar oppfølgningsspørsmål studenthelseundersøkelsen	Trond Morten Trondsen	MS OUTLOOK	
55914	17.02.2020 09:36:52	Oslo kommune BYR Alkoholpolitisk handlingsplan	Trond Morten Trondsen	MS OUTLOOK	
55918	18.02.2020 09:01:04	Håndtering av smitteavfall-korrespondanse med UiO	Maryam Pervaiz	MS OUTLOOK	
55919	18.02.2020 09:56:32	SV: 170220 Covid-19, bydel NordreAker Oslo kommune	Trond Morten Trondsen	MS OUTLOOK	
55921	19.02.2020	Høring NOU 2020:3 Ny lov om universiteter og høyskoler, Kunnskapsdepartementet 18.2.20	Torgunn Kveberg	MS OUTLOOK	
55925	19.02.2020 15:09:28	Kabelforbindelse Sogn - Ulven, brev fra Statnett av 11.2.20	Torgunn Kveberg	ACROBAT	
55936	21.02.2020 08:53:59	"Ny melding tilgjengelig i Altinn.no forSTUDENTSAMSKIPNADEN SiO: ""Vedr Bygg-20-00876-2 - Referat fra forhåndskonferanse"""	Torgunn Kveberg	MS OUTLOOK	
55959	25.02.2020 07:50:05	Vedtak om tilskudd til studentsamskipnadene, Diku (Direktoratet for internasjonalisering og kvalitetsutvikling ihøyere utdanning) 21.2.20	Torgunn Kveberg	MS OUTLOOK	
55959	25.02.2020 07:50:05	Vedtak om tilskudd til studentsamskipnadene, Diku (Direktoratet for internasjonalisering og kvalitetsutvikling ihøyere utdanning) 21.2.20	Torgunn Kveberg	MS OUTLOOK	
55962	25.02.2020 09:59:04	Olav M. Troviks vei 40 - Ferdigattest,PBE 24.2.20	Torgunn Kveberg	MS OUTLOOK	
55968	25.02.2020 12:24:36	SV: SHoT - kort status og agenda 040320	Trond Morten Trondsen	MS OUTLOOK	
55971	25.02.2020 13:24:37	Databehandleravtale_UiOSiO_tannhelseprosjekt2020	Maryam Pervaiz	ACROBAT	
55972	25.02.2020 13:25:26	Prosjektbeskrivelsetannhelse2020.docx	Maryam Pervaiz	MS WORD	
55979	26.02.2020 13:56:30	Svarbrev klage utlevert feil journal ES ACROBAT	Taran Bing Lorentzen		
55995	28.02.2020 19:41:23	Legionella Bydel Grunerløkka Bydelosoverlegen 1	Trond Morten Trondsen	MS OUTLOOK	
55996	28.02.2020 19:43:08	Legionella Bydel Grunerløkka Bydelosoverlegen 1 sv	Trond Morten Trondsen	MS OUTLOOK	
55998	02.03.2020 09:13:11	Brenneriveien 11 - Svar på spørsmålom utnyttelse, PBE 28.2.20	Torgunn Kveberg	MS OUTLOOK	
