agency	caseyear	caseseqnr	casedocseq	docdate	sender	recipient	docdesc
Husbanken	2013	11067	9	2015-01-07	Studentsamskipnaden i Oslo og Akershus	Husbanken	Søknad om utbetaling - Pantedokument - Panteattest - Låneavtale - Legitimasjonskontroll - Forsikringsattest
Husbanken	2015	3511	1	2015-02-16	Studentsamskipnaden i Oslo go Akershus	Husbanken	Søknad om lån til studentboliger - Grunnlån oppføring
Arbeidstilsynet	2015	9674	4	2015-02-20	Arbeidstilsynet	Studentsamskipnaden i Oslo og Akershus	Vedtak om samtykke på vilkår og gebyr
Husbanken	2015	3511	2	2015-02-20	Husbanken	Studentsamskipnaden i Oslo go Akershus	Mottatt søknad
Fylkesmannen i Oslo og Akershus	2015	2084	2	2015-02-25	Studentsamskipnaden i Oslo v/Helse	Fylkesmannen i Oslo og Akershus	Legeattest
Husbanken	2015	3511	3	2015-02-26	Husbanken	Studentsamskipnaden i Oslo og Akershus	Godkjenning og utbetaling tilskudd trinn 1 og 2
Husbanken	2015	3511	4	2015-02-26	Husbanken	Studentsamskipnaden i Oslo og Akershus	Tilsagn om grunnlån oppføring
Kunnskapsdepartementet	2014	4938	43	2015-02-27		Studentsamskipnaden i Oslo og Akershus	Tilsagn om tilskudd til studentboliger for 2015
Nasjonal kommunikasjonsmyndighet	2015	1656	1	2015-03-11	Studentsamskipnaden i Oslo		Oppsigelse av PMR-nett -  tillatelse 7959
Nasjonal kommunikasjonsmyndighet	2015	1656	2	2015-03-16		Studentsamskipnaden i Oslo	Bekreftelse på oppsigelse av PMR-tillatelse 7959
Kunnskapsdepartementet	2015	1068	10	2015-03-20	Studentsamskipnaden i Oslo og Akershus		SIO Høringssvar vedr Fri stasjon - rammer og oppfølging
Kunnskapsdepartementet	2015	1068	12	2015-03-20	Studentsamskipnaden i Oslo og Akershus		SIO Høringssvar Fri stasjon Rammer og oppfølging
Husbanken	2013	11067	14	2015-03-23	Studentsamskipnaden i Oslo og Akershus	Husbanken	Tilleggsavtale fastrente
Direktoratet for byggkvalitet	2015	2290	34	2015-04-10	Studentsamskipnaden i Oslo og Akershus	Direktoratet for byggkvalitet	Innspill TEK10
Husbanken	2010	10563	11	2015-05-07	Studentsamskipnaden i Oslo	Husbanken	Søknad om utbetaling
Kunnskapsdepartementet	2008	6475	26	2015-05-12	Studentsamskipnaden i Oslo og Akershus		Rapport fra Samskipnadsrådet
Husbanken	2010	10563	12	2015-05-12	Husbanken	Studentsamskipnaden i Oslo og Akershus	Godkjenning og utbetaling trinn 2
Kunnskapsdepartementet	2015	2086	17	2015-05-13	Studentsamskipnaden i Oslo og Akershus		SIO Årsrapport 2014
Husbanken	2010	10563	13	2015-05-13	Husbanken	Studentsamskipnaden i Oslo og Akershus	Godkjenning og utbetaling trinn 1 og 2 - tilskudd studentboliger - Studentsamskipnaden i Oslo
Husbanken	2010	10563	16	2015-05-21	Husbanken	Studentsamskipnaden i Oslo	Endring av kontonummer for utbetaling av tilskudd
Arbeidstilsynet	2015	28287	1	2015-05-28	Arbeidstilsynet	STUDENTSAMSKIPNADEN I OSLO OG AKERSHUS	Melding om tilsyn
Kunnskapsdepartementet	2015	888	26	2015-06-01	Studentsamskipnaden i Oslo og Akershus		SIO Høringssvar av rapport fra ekspertgruppe Private høyskoler og fagskoler i samfunnets tjeneste
Arbeidstilsynet	2015	28287	2	2015-06-10	Arbeidstilsynet	STUDENTSAMSKIPNADEN I OSLO OG AKERSHUS	Tilsynsrapport med varsel om pålegg
