Doc #	Endret dato	Tittel	Saksbehandler	Applikasjon	List Title
53505	02.01.2019	Innvilgelse av tilskudd til Studentenes helse og trivselsundersøkelse2018 2022, Helsedirektoratet 13.12.18	Torgunn Kveberg	MS OUTLOOK	
53506	02.01.2019	Innvilgelse av tilskudd til Rusforebyggende og helsefremmende arbeidSiO Helse, Helsedirektoratet 13.12.18	Torgunn Kveberg	MS OUTLOOK	
53513	03.01.2019	Søknad om deling/justering og arealoverføring Gjerdrums vei 10 E	Trond Bakke	MS OUTLOOK	
53523	04.01.2019	Sognsveien 102 Referat fra kartog bestemmelsesmøte 29.11.2018, PBE 3.1.19	Torgunn Kveberg	MS OUTLOOK	
53795	13.02.2019	Høring Oppfølging av rapport omstudentboliger 2019, Kunnskapsdepartementet 12.2.19	Torgunn Kveberg	MS OUTLOOK	Postliste SiO uke 7 2019.pdf
53823	19.02.2019	Brev til Troms fylkeskommune leieretter	Trond Bakke	MS WORD	Postliste SiO uke 8 2019.pdf
53895	05.03.2019	Vedrørende årsrapportering for 2018, Kunnskapsdepartementet 5.3.19	Torgunn Kveberg	MS OUTLOOK	
53904	06.03.2019	Høring Forslag til endinger i universitets og høyskoleloven vilkår for statstilskudd til privat høyere utdanning, Kunnskapsdepartementet 1.3.19	Torgunn Kveberg	MS OUTLOOK	
53929	08.03.2019	Semestermerker_høsten_2019	Nina Langeland	MS WORD	
53934	11.03.2019	Høring Forslag til ny forskrift om høyere yrkesfaglig utdanning, Kunnskapsdepartementet 11.3.19	Torgunn Kveberg	MS OUTLOOK	
54005	15.03.2019	Statsbudsjettet for 2019 Kap. 280post 50 – Tilskudd til studentsamskipnadene, Diku (Direktoratet for internasjonalisering og kvalitetsutvikling i høyere utdanning) 15.3.19	Torgunn Kveberg	MS OUTLOOK	
54035	20.03.2019	Studenthus i St. Olavs gate 32, Kunnskapsdepartementet 20.3.19	Torgunn Kveberg	MS OUTLOOK	Postliste SiO uke 12 2019.pdf
54116	28.03.2019	Medlemskap i Studentsamskipnaden i Oslo og Akershus, Noroff Fagskole AS, Kunnskapsdepartementet28.3.19	Torgunn Kveberg	MS OUTLOOK	Postliste SiO uke 13 2019.pdf
54147	03.04.2019	Medlemskap i Studentsamskipnaden i Oslo og Akershus, Noroff høyskole, Kunnskapsdepartementet 28.3.19	Torgunn Kveberg	MS OUTLOOK	Postliste SiO uke 14 2019.pdf
54180	08.04.2019	Høring Endring i forskrift om dokumentasjon av byggevarer og byggevareforordningen, e post fra Direktoratet for byggkvalitet 5.4.19	Torgunn Kveberg	MS OUTLOOK	
54199	11.04.2019	Invitasjon Innspill til stortingsmelding om arbeidsrelevans i høyere utdanning, Kunnskapsdepartementet10.4.19	Torgunn Kveberg	MS OUTLOOK	
54215	12.04.2019	Ringvei 3, regulering av strekningen Universitetskrysset Tåsenlokket: sak 201616577, PBE 3.4.19	Helge Christian Haugen	ACROBAT	
54403	20.05.2019	Angående sak	Nina Langeland	MS OUTLOOK	
54404	20.05.2019	Si fra sak	Nina Langeland	MS OUTLOOK	
54436	27.05.2019	Semestermerker_høsten_2019	Nina Langeland	MS WORD	
54444	28.05.2019	Brev til EBY om Betzy K og Schulzgt	Trond Bakke	MS OUTLOOK	
54446	29.05.2019	Medlemskap i Studentsamskipnaden i Oslo og Akershus (SiO), Fagskolen Oslo Akershus, Kunnskapsdepartementet 29.5.19	Torgunn Kveberg	MS OUTLOOK	
54449	29.05.2019	Garanti som erstatning for depositum Mobilitetsstipend for norsk språk og litteratur, Diku (Direktoratet forinternasjonalisering og kvalitetsutvikling i høyere utdanning) 29.5.19	Torgunn Kveberg	ACROBAT	
54627	26.06.2019 08:17:04	Annullering av ubenyttede tilsagn om tilskudd, Kunnskapsdepartementet 25.6.19	Torgunn Kveberg	MS OUTLOOK	
54645	28.06.2019 08:48:26	Brenneriveien 11 Studentboliger,PBE 28.6.19	Torgunn Kveberg	MS OUTLOOK	
54812	15.08.2019	Datatilsynet 02.07.2019 - Tillatelse til å behandle personopplysniger	Torgunn Kveberg	ACROBAT	
54818	16.08.2019	Offentlig høring av endring i forskriftom dokumentasjon av byggevarer og byggevareforordningen, Direktoratet for byggkvalitet 16.8.19	Torgunn Kveberg	MS OUTLOOK	
54868	28.08.2019	"Kontaktkonferansen 2020 - Forespørsel om gode eksempler på tiltak forå fremme ""Grønt skifte"", Kunnskapsdepartementet 27.8.19"	Torgunn Kveberg	MS OUTLOOK	Postliste SiO uke 35 2019.pdf
54925	09.09.2019 1	SiO Søknad om bytte av revisor, Ku	Torgunn Kveberg	MS OUTLOOK	Postliste SiO uke 36 2019.pdf
54971	17.09.2019 0	Arealoverføring Gjerdrums vei 10	Trond Bakke	MS OUTLOOK	Postliste SiO uke 38 2019.pdf
55099	08.10.2019	Høring - NOU 2019:9 Fra kalveskinntil datasjø - Ny lov om samfunnsdokumentasjon og arkiver, Kulturdepartementet 8.10.19	Torgunn Kveberg	MS OUTLOOK	Postliste SiO uke 41 2019.pdf
55155	16.10.2019 12:46:56	Brev til Plan og byggningsetaten. Erklæring om arealoverføring Gjerdrums vei	Trond Bakke	MS OUTLOOK	Postliste SiO uke 42 2019.pdf
