Doc #	Endret dato	Tittel	Saksbehandler	Applikasjon	List Title
40030	20.01.2015	Semestermerker	Nina Langeland	MS WORD	Postliste SiO uke4 2015.pdf
40149	30.01.2015	Høring - Forslag til endringer i forskrift om Lånekassens adgangtil innhenting av opplysninger, Kunnskapsdepartementet 28.1.15	Torgunn Kveberg	MS OUTLOOK	Postliste SiO uke5 2015.pdf
40406	18.02.2015	Tilsagn om tilskudd til studentboligbygging for 2015, Kunnskapsdepartementet 13.2.2015	Torgunn Kveberg	ACROBAT	Postliste SiO uke8 2015.pdf
40486	24.02.2015	Høring - Forslag til rammer og oppfølging fri stasjon, Kunnskapsdepartementet 19.2.2015	Torgunn Kveberg	MS OUTLOOK	SiOs postliste 23.02.15 - 01.03.15
40526	26.02.2015	Høring - Rapport fra ekspertgruppe Private høyskoler og fagskoler i samfunnets tjeneste, Kunnskapsdepartementet 25.2.2015	Torgunn Kveberg	MS OUTLOOK	SiOs postliste 23.02.15 - 01.03.15
40589	02.03.2015	Tilsagn om tilskudd til studentboligbygging for 2015, Kunnskapsdepartementet 27.2.15	Torgunn Kveberg	ACROBAT	SiOs postliste 02.02.15 - 08.02.15
40591	02.03.2015	Tilskudd til studentboligbygging for 2015 - fordeling av tilsagn, Kunnskapsdepartementet 27.2.15	Torgunn Kveberg	ACROBAT	SiOs postliste 02.02.15 - 08.02.15
40735	11.03.2015	Avtaleutkast_fri_stasjon_NSKI_Høyskole	Nina Langeland	MS OUTLOOK	
40925	25.03.2015	Evaluering av Si Fra-systemet	Nina Langeland	ACROBAT	
41335	28.04.2015	Vedrørende årsrapportering for 2014, Kunnskapsdepartementet27.4.15	Torgunn Kveberg	ACROBAT	SiOs postliste 27.04.15 - 03.05.15
41352	29.04.2015	Møte om beredskap og samvirke	Nina Langeland	MS WORD	SiOs postliste 27.04.15 - 03.05.15
41427	06.05.2015	Endret oppholdsbetaling i SiO Barnehage	Dordi Sylte	MS WORD	SiOs postliste 04.05.15 - 10.05.15
41430	06.05.2015	Forespørsel om hilsen fra Fabian Stang til nye studenter i Oslo	Nina Langeland	MS OUTLOOK	SiOs postliste 04.05.15 - 10.05.15
41480	11.05.2015	Tilskudd 2015 - forebygging av uønskede svangerskap og abort,Helseavd v/Fylkesmannen i Oslo og Akershus 4.5.15	Torgunn Kveberg	ACROBAT	SiOs postliste 11.05.15 - 17.05.15
41501	12.05.2015	1_Oversendelse av referat fra kart- og bestemmelsesmøtet.pdf	Trond Bakke	ACROBAT	SiOs postliste 11.05.15 - 17.05.15
41502	12.05.2015	2_Referat fra kart- og bestemmelsesmøte.pdf	Trond Bakke	ACROBAT	SiOs postliste 11.05.15 - 17.05.15
41518	13.05.2015	årsregnskap, årsberetning og revisors beretning 2014	Inger Hegstad Krüger	MS OUTLOOK	SiOs postliste 11.05.15 - 17.05.15
41581	21.05.2015	Brev om inntektsdokumentasjon	Dordi Sylte	MS WORD	
41582	21.05.2015	Engelsk brev inntektsdokumentasjon	Dordi Sylte	MS WORD	
41859	16.06.2015	Semestermerker H15	Nina Langeland	MS WORD	
43125	09.11.2015	Igangsettingstillatelse del 2 Rolf. E. Stenersens allé 30 36, PBE 06.11.15	Torgunn Kveberg	MS OUTLOOK	
43137	09.11.2015	Behov for tilleggsdokumentasjonBlindernveien 6, PBE 09.11.15	Torgunn Kveberg	MS OUTLOOK	
43163	11.11.2015	Forespørsel overskjøting av Storgata 39 41, Kongsvinger kommune	Eivind Hall	ACROBAT	
43176	12.11.2015	Søknad om tilskudd til studentboligbygging 2016, brev til Kunnskapsdepartementet av 9.11.2015	Helge Christian Haugen	ACROBAT	
43222	18.11.2015	Korrigerende notat vedr søknad omtilskudd til studentboligbygging 2016, Brev til Kunnskapsdepartementetav 13.11.2015	Helge Christian Haugen	MS WORD	
