Doc #	Endret dato	Tittel	Saksbehandler	Applikasjon	List Title
50803	02.01.2018	Brenneriveien 11 Referaf fra bemerkningsmøte 11.12.2017, PBE 21.12.17	Torgunn Kveberg	MS OUTLOOK	
50824	03.01.2018	Vedrørende omdisponering av tilsagn om tilskudd til studentboligbygging, Kunnskapsdepartementet 19.12.17	Torgunn Kveberg	MS OUTLOOK	
50837	05.01.2018	Arbeidsgruppe for gjennomgang avtilskuddsordningen for studentboliger, Kunnskapsdepartementet 4.1.18	Torgunn Kveberg	MS OUTLOOK	
50858	09.01.2018	Statsbudsjettet for 2018 Kap. 270post 74 Tilskudd til studentsamskipnadene, Kunnskapsdepartementet8.1.18	Torgunn Kveberg	MS OUTLOOK	Postliste SiO uke 2 2018.pdf
50955	25.01.2018	Blindernveien 6 Underretning ompolitisk planvedtak, PBE 25.1.18	Torgunn Kveberg	MS OUTLOOK	Postliste SiO uke 4 2018.pdf
50983	31.01.2018	Olav M. Troviks vei 38 44, Ikke forlengelse av midlertidig dispensasjon, PBE 31.1.18	Torgunn Kveberg	MS OUTLOOK	Postliste SiO uke 5 2018.pdf
51080	16.02.2018	Avslag på søknad om tilskudd til Bruker og pårørendearbeid innen rusog psykisk helsefeltet over statsbudsjettet 2018 kap. 765 post 71, Brev fra Helsedirektoratet datert 16.2.18	Torgunn Kveberg	MS OUTLOOK	Postliste SiO uke 7 2018.pdf
51222	07.03.2018	Invitasjon til Studentslippet felles semesterstartarrangement for alle nye studenter	Nina Langeland	MS OUTLOOK	Postliste SiO uke 10 2018.pdf
51507	19.04.2018	Sognsveien 102, Nordre Aker Invitasjon til oppstartsmøte, Del 1 av 2,PBE 18.4.18	Torgunn Kveberg	MS OUTLOOK	
51508	19.04.2018	Sognsveien 102 Nordre Aker, Invitasjon til oppstartsmøte, Del 2 av 2,PBE 18.4.18	Torgunn Kveberg	MS OUTLOOK	
51509	19.04.2018	Vedrørende årsrapportering for 2017, Kunnskapsdepartementet 18.4.18	Torgunn Kveberg	MS OUTLOOK	
51611	30.04.2018	Nabomøte	Nina Langeland	MS OUTLOOK	Postliste SiO uke 17 2018.pdf
51626	03.05.2018	SV: Prisforespørsel leie av toaletter pluss 1 stativ m antibac dispensere til arrangement lørdag 18. august	Nina Langeland	MS OUTLOOK	
51696	15.05.2018 12:55:44	Garanti som erstatning for innbetaling av depositum - Mobilitetsstipend for norsk språk og litteratur, brev fra SIU av 14.5.18	Torgunn Kveberg	MS OUTLOOK	SiO Postliste 14. - 20.05.18
51712	18.05.2018 08:17:35	Ny invitasjon til å søke om tilskudd til studentboligbygging for 2018, brev fra Kunnskapsdepartementet av 16.5.18	Torgunn Kveberg	MS OUTLOOK	SiO Postliste 14. - 20.05.18
51738	25.05.2018	Blindernveien 6 Klagesak til Fylkesmannen, PBE 24.5.18	Torgunn Kveberg	MS OUTLOOK	Postliste SiO uke 21 2018.pdf
51757	28.05.2018	Brenneriveien 11 Ny høring: Forslag til detaljregulering, PBE 28.5.18	Torgunn Kveberg	MS OUTLOOK	Postliste SiO uke 22 2018.pdf
51927	15.06.2018	Sognsveien 102 Referat fra oppstartsmøte 24.4.2018. PBE 11.6.18	Torgunn Kveberg	MS OUTLOOK	Postliste SiO uke 24 2018.pdf
52122	06.07.2018	Høring Forskrift om høyere yrkesfaglig utdanning og gradsbetegnelser, Kunnskapsdepartemenet 5.7.18	Torgunn Kveberg	MS OUTLOOK	
52123	06.07.2018	Rettelse til høring Forskrift om høyere yrkesfaglig utdanning og gradsbetegnelser, Kunnskapsdepartementet 5.7.18	Torgunn Kveberg	MS OUTLOOK	
52248	30.07.2018	Sandakerveien 99 Ferdigbehandlet sluttrapport for forurenset grunn,PBE 24.7.18	Torgunn Kveberg	MS OUTLOOK	
52289	08.08.2018	Semestermerker høsten 2018	Nina Langeland	MS WORD	
52541	29.08.2018	Høring Endringer i universitets oghøyskoleloven og høyskoleloven og fagskoleloven studentombud, trakassering og tilrettelegging av læringsmiljø, Kunnskapsdepartementet29.8.2018	Torgunn Kveberg	MS OUTLOOK	
52550	30.08.2018	Tilsagn om tilskudd til studentboligbygging for 2018, Kunnskapsdepartementet 30.8.18	Torgunn Kveberg	MS OUTLOOK	
52552	31.08.2018	Brenneriveien 11 Vurdering av behandlingstid etter offentlig ettersyn,PBE 31.8.18	Torgunn Kveberg	MS OUTLOOK	
52688	21.09.2018	Tilbud til studenter innen psykisk helse, Kulturdepartementet 20.9.18	Torgunn Kveberg	MS OUTLOOK	
52704	24.09.2018	Innsyn i ansettelsesprosess	Torgunn Kveberg	MS OUTLOOK	
52718	25.09.2018	Overskridelse av kostnadsrammenfor tilskudd til studentboliger, Kunnskapsdepartementet 24.9.18	Torgunn Kveberg	MS OUTLOOK	
52759	28.09.2018	Brenneriveien 11 Ny høring angående opprettholdelse av innsigelse	Torgunn Kveberg	MS OUTLOOK	
52782	03.10.2018	Invitasjon til innspill til stortingsmeldingen om internasjonal studentmobilitet, Kunnskapsdepartementet 1.10.18	Torgunn Kveberg	MS OUTLOOK	Postliste SiO uke 40 2018.pdf
52843	10.10.2018	Sognsveien 102 Referat fra dialogmøte 2 (forhåndsuttalelser) 5.10.2018, PBE 9.10.18	Torgunn Kveberg	MS OUTLOOK	
52851	11.10.2018	Byggeprosjekt Bjerregaards gate21, Kunnskapsdepartementet 11.10.18	Torgunn Kveberg	MS OUTLOOK	
52867	15.10.2018	Høringsnotat Strategi for psykiskhelse i Oslo, Oslo kommune v/Byrådsavdeling for eldre, helse og arbeid 5.10.18	Torgunn Kveberg	ACROBAT	Postliste SiO uke 42 2018.pdf
52982	25.10.2018	Høring Forskrift om tilbakebetalingav utdanningslån 2019, Kunnskapsdepartementet 24.10.18	Torgunn Kveberg	MS OUTLOOK	
52983	25.10.2018	Invitasjon til å søke om tilskudd til studentboligbygging for 2019, brev fra Kunnskapsdepartementet av 15.10.18	Torgunn Kveberg	MS OUTLOOK	
53141	07.11.2018	Anmodning om avklaring vedr brukav kullfilterløsning til avtrekk i boliger, PBE 6.11.18	Helge Christian Haugen	ACROBAT	
53156	09.11.2018	Høring Forslag til forskrift om tildeling av utdanningsstøtte for 2019 2020, Kunnskapsdepartementet 8.11.18	Torgunn Kveberg	MS OUTLOOK	
53213	15.11.2018	Sognsveien 102 Referat fra dialogmøte 3 Del 1 av 2, PBE 13.11.18	Torgunn Kveberg	MS OUTLOOK	
53214	15.11.2018	Sognsveien 102 Referat fra dialogmøte 3 Del 2 av 2, PBE 13.11.18	Torgunn Kveberg	MS OUTLOOK	
53227	19.11.2018	Brev fra Datatilsynet 6.11.2018 Tilbakemeliding om avvik	Torgunn Kveberg	ACROBAT	
53274	23.11.2018	Semestermerker_våren_2019	Nina Langeland	MS WORD	
53325	29.11.2018	Trimveien 4 Underretning om forkastet planforslag, PBE 29.11.18	Torgunn Kveberg	MS OUTLOOK	
53329	30.11.2018	Ny forskrift om høyere yrkesfaglig utdanning med gradsbetegnelser mv., Kunnskapsdepartementet 29.11.18	Torgunn Kveberg	MS OUTLOOK	
53371	06.12.2018	Søknad om medlemskap i Kunnskapsbyen Lillestrøm	Trond Bakke	MS WORD	
53408	11.12.2018	Avhending av Bjerke studenthus, brev fra Kunnskapsdepartementet av 7.12.18	Torgunn Kveberg	MS OUTLOOK	
53425	13.12.2018	Korreksjon av brev av 7.12.18 vedravhending av Bjerke studenthus, nytt brev fra Kunnskapsdepartementet 11.12.18	Torgunn Kveberg	MS OUTLOOK	
53438	14.12.2018	Statsbudsjettet for 2018 Kap. 270post 74, Tilskudd til studentsamskipnadene, supplerende tilskuddsbrev fra Kunnskapsdepartementet 14.12.18	Torgunn Kveberg	MS OUTLOOK	
