Sist endret d,Dok # Tittel,Applikasjon,Saksbehandler
ato,,,
22.02.2016,44329 Statsbudsjettet 2016 Kap. 270 po,MS OUTLOOK,Torgunn Kveberg
,st 74 Tilskudd til studentsamskipn,,
,"adene, Kunnskapsdepartementet 1",,
,9.2.16,,
