,,SiOs postliste 17.2.2020-25.2.2020,
Endret dato,Dok # Dokumentnavn,Applikasjon,Forfatternavn
25.02.2020 0,55959 Vedtak om tilskudd til studentsamski,MS OUTLOOK,Torgunn Kveberg
7:50:05,"pnadene, Diku (Direktoratet for inter",,
,nasjonalisering og kvalitetsutvikling i,,
,høyere utdanning) 21.2.20,,
21.02.2020 0,55936 Ny melding tilgjengelig i Altinn.no for,MS OUTLOOK,Torgunn Kveberg
8:53:59,"STUDENTSAMSKIPNADEN SiO: ""Ve",,
,dr Bygg-20-00876-2 - Referat fra forh,,
,"åndskonferanse""",,
19.02.2020 1,"55925 Kabelforbindelse Sogn - Ulven, brev f",ACROBAT,Torgunn Kveberg
5:09:28,ra Statnett av 11.2.20,,
19.02.2020,55921 Høring NOU 2020:3 Ny lov om univer,MS OUTLOOK,Torgunn Kveberg
,"siteter og høyskoler, Kunnskapsdepa",,
,rtementet 18.2.20,,
18.02.2020 0,"55919 SV: 170220 Covid-19, bydel Nordre",MS OUTLOOK,Trond Morten Trondsen
9:56:32,Aker Oslo kommune,,
18.02.2020 0,55918 Håndtering av smitteavfall-korrespon,MS OUTLOOK,Maryam Pervaiz
9:01:04,danse med UiO,,
17.02.2020 0,55914 Oslo kommune BYR Alkoholpolitisk h,MS OUTLOOK,Trond Morten Trondsen
9:36:52,andlingsplan,,
17.02.2020 0,55913 NSO svar oppfølgningsspørsmål stud,MS OUTLOOK,Trond Morten Trondsen
9:29:46,enthelseundersøkelsen,,
17.02.2020 0,55912 Invitasjon til oppstartsmøte om ny Vei,MS OUTLOOK,Torgunn Kveberg
8:38:30,"leder for overvann - Oslo kommune,",,
,PBE 14.2.20,,
17.02.2020 0,55911 Invitasjon til møte om St. Olavs gate,MS OUTLOOK,Torgunn Kveberg
8:32:03,"32, Kommunal- og moderniseringsde",,
,,SiOs postliste 17.2.2020-25.2.2020,
Endret dato,Dok # Dokumentnavn,Applikasjon,Forfatternavn
,partementet 14.2.20,,
