,,SiOs postliste 8.6.2020-14.6.2020,,
Endret dato,Dok #,Dokumentnavn,Applikasjon,Forfatternavn
12.06.2020 09:14:53,56559,Datatilsynet 04.06.2020 - Avslutning av sak; Melding om avvik,ACROBAT,Torgunn Kveberg
12.06.2020,56561,Brev fra PBE 12.6.20 - Ber om redegjørelse Sognsvn 85,ACROBAT,Torgunn Kveberg
09.06.2020,56532,"Garanti som erstatning for depositum - Mobilstipend for norsk språk og litteratur, Dik",ACROBAT,Torgunn Kveberg
,,"u - Direktoratet for internasjonalisering og kvalitetsutvikling i høyere utdanning, 5.6.2",,
,,0,,
