,SiOs postliste 30.3.2020-3.4.2020,,
Endret dato,Dok # Dokumentnavn,Applikasjon,Forfatternavn
02.04.2020 09:52:,56260 Brev til Kunnskapsdepartementet 2.4.20 - Økono,MS OUTLOOK,Torgunn Kveberg
39,misk situasjon for studentsamskipnadene,,
01.04.2020 17:31:,56257 Eksamensåpne barnehager korona Bydel Nordre,MS OUTLOOK,Trond Morten Trondsen
00,Aker Bydelosverlege,,
31.03.2020 09:47:,56253 Informasjons om videreføring av smitteverntiltak i,ACROBAT,Torgunn Kveberg
43,"ny forskrift, Næringsetaten Oslo kommune 30.3.2",,
,0,,
31.03.2020 09:45:,"56252 Jens Bjelkes gate 60 - Igangsettingstillatelse nr. 2,",ACROBAT,Torgunn Kveberg
33,PBE 30.3.20,,
31.03.2020 09:43:,"56251 Tilsagn om tilskudd til studentboliger 2020, Kunns",MS OUTLOOK,Torgunn Kveberg
11,kapsdepartementet 31.3.20,,
30.03.2020 11:00:,"56246 Pilestredet 31 - Endret tillatelse, PBE 30.3.20",ACROBAT,Torgunn Kveberg
36,,,
30.03.2020 08:52:,"56244 Renhold av UiO hos SiO Helse Blindern, Feberpol",MS OUTLOOK,Camilla Vigander
20,iklinikk,,
30.03.2020,"56245 Jens Bjelkes gate 60 - Endret tillatelse, PBE 30.3.",ACROBAT,Torgunn Kveberg
,20,,
