,SiOs postliste 22.6.2020-28.6.2020,,
Endret dato,Dok # Dokumentnavn,Applikasjon,Forfatternavn
23.06.2020 09:14,56602 Gjerdrums vei 10 C - Igangsettingstillatelse nr 3,ACROBAT,Torgunn Kveberg
:23,", PBE 22.6.20",,
23.06.2020 09:12,56601 Gjerdrums vei 10 B - Igangsettingstillatelse nr 3,ACROBAT,Torgunn Kveberg
:28,", PBE 22.6.20",,
23.06.2020,56600 Invitasjon til å søke om tilskudd til oppgradering,MS OUTLOOK,Torgunn Kveberg
,"av studentboliger, Kunnskapsdepartementet 2",,
,2.6.20,,
22.06.2020 13:39,56597 Forprosjekt ADM 072 Gamification NHN,MS OUTLOOK,Trond Morten Trondsen
:54,,,
22.06.2020 11:56,56595 Rolf E. Stenersens allé 6 - Igangsettingstillatels,ACROBAT,Torgunn Kveberg
:47,"e, PBE 18.6.20",,
