,SiOs postliste 29.6.2020-3.7.2020,,
Endret dato,Dok # Dokumentnavn,Applikasjon,Forfatternavn
03.07.2020 11:12,56638 Søknad om tilskudd til oppgradering av student,ACROBAT,Torgunn Kveberg
:33,"boliger, Kunnskapsdepartementet 1.7.20",,
02.07.2020 10:02,56633 Rolf E. Stenersens allé 16-18-20-22 - Midlertidi,ACROBAT,Torgunn Kveberg
:30,"g brukstillatelse, PBE 2.7.20",,
30.06.2020 10:24,56626 Marselis' gate 24 - Registrering av heisteknisk,ACROBAT,Torgunn Kveberg
:20,"dokumentasjon, PBE 30.6.20",,
