,,SiOs postliste 25.1.-31.1.2021,
Edit Date,Doc # Document Name,Application,Author Name
27.01.2021 1,57680 SV HSØ tilskudd psykisk helse 202,MS OUTLOOK,Trond Morten Trondsen
2:46:34,1 Cecilie Skule,,
27.01.2021 0,57697 Olav M. Troviks vei 64 - Igangsettin,ACROBAT,Torgunn Kveberg
9:22:09,"gstillatelse, PBE 26.1.21",,
27.01.2021 0,"57696 Rolf E. Stenersens alle 16-22, Ferdi",ACROBAT,Torgunn Kveberg
9:18:46,"gattest, PBE 26.1.21",,
27.01.2021 0,57695 Godkjenning av lån i Husbanken til,MS OUTLOOK,Torgunn Kveberg
9:14:50,"oppføring av studentboliger, Kunnsk",,
,apsdepartementet 26.1.21,,
27.01.2021 0,57694 Informasjon om smitteverntiltak mot,MS OUTLOOK,Torgunn Kveberg
9:13:23,mutert koronavirus i østlandskommu,,
,"ner 23.1.21, Kunnskapsdepartemen",,
,et 26.1.21,,
27.01.2021 0,57693 Tildelingsbrev HSØ Tillskudd PH Si,ACROBAT,Trond Morten Trondsen
7:39:38,O Helse 2021,,
26.01.2021 1,57683 Invitasjon til pilotprosjekt i ekstern v,MS OUTLOOK,Torgunn Kveberg
0:57:09,"eiledning av barnehageeiere, Statsf",,
,"orvalteren i Oslo og Viken, 25.1.21",,
25.01.2021 1,"57675 Stenging av serveringssteder, Oslo",ACROBAT,Torgunn Kveberg
1:51:17,kommune 23.1.21,,
25.01.2021 1,57674 Blindernveien 6 - søknad om samty,ACROBAT,Torgunn Kveberg
1:36:11,"kke, Arbeidstilsynet 22.1.21",,
25.01.2021 1,57673 Jon P. Erliens vei 14 - Midlertidig br,ACROBAT,Torgunn Kveberg
1:32:10,"ukstillatelse, PBE 22.1.21",,
25.01.2021 1,57672 Invitasjon til å søke tilsagn om tilsku,MS OUTLOOK,Torgunn Kveberg
1:09:53,"dd til studentboliger for 2021, Kunns",,
,,SiOs postliste 25.1.-31.1.2021,
Edit Date,Doc # Document Name,Application,Author Name
,kapsdepartementet 18.12.20,,
25.01.2021 1,"57671 Leieboerinnskudd i studentboliger,",MS OUTLOOK,Torgunn Kveberg
1:08:19,Kunnskapsdepartementet 17.12.20,,
