,,SiOs postliste 24.5.-30.5.2021,
Edit Date,Doc # Document Name,Application,Author Name
28.05.2021 1,58388 Oslo kommune sel- massetetsting,MS OUTLOOK,Trond Morten Trondsen
0:54:18,korona finansiering,,
28.05.2021 0,58385 Garanti for innbetaling av depositu,ACROBAT,Torgunn Kveberg
8:24:12,"m, Diku 27.5.21",,
25.05.2021 0,58373 Gradvis gjenåpning av utelivet - rev,ACROBAT,Torgunn Kveberg
9:34:49,"idert veileder, Oslo kommune 21.5.",,
,21,,
25.05.2021 0,58372 Gjerdrums vei 10 C - Midlertidig bru,ACROBAT,Torgunn Kveberg
9:18:25,"kstillatelse, PBE 21.5.21",,
25.05.2021 0,58371 Gjerdrums vei 10 B - Midlertidig bru,ACROBAT,Torgunn Kveberg
9:15:50,"kstillatelse, PBE 21.5.21",,
