,,SiOs postliste 22.3.-28.3.2021,
Edit Date,Doc # Document Name,Application,Author Name
27.03.2021 1,58134 Covid-19 testing Oslo Kommune H,MS OUTLOOK,Trond Morten Trondsen
2:22:47,EL,,
26.03.2021 0,58121 Referat fra samråd med Studentsa,ACROBAT,Torgunn Kveberg
8:20:48,"mskipnaden SiO, PBE 25.3.21",,
24.03.2021 0,58114 Svar på søknad om tilslutning til St,MS OUTLOOK,Torgunn Kveberg
9:56:27,"udentsamskipnaden i Oslo, Kunnsk",,
,apsdepartementet 23.3.21,,
22.03.2021 0,58071 Blindernveien 6 A-E - Endret tillatel,ACROBAT,Torgunn Kveberg
9:28:32,"se nr 6, PBE 22.3.21",,
22.03.2021 0,58070 Klagesak - avslag på søknad om ut,ACROBAT,Torgunn Kveberg
9:26:17,"videlse av uteareal, PBE 18.3.21",,
22.03.2021 0,58069 Koronasituasjonen: Status for nasjo,MS OUTLOOK,Torgunn Kveberg
9:12:02,"nale tiltak, anbefaling om digital un",,
,"dervisning uken etter påske mv., K",,
,unnskapsdepartementet 19.3.21,,
22.03.2021 0,58068 Hurtigtesting Oslo kommune Blinde,MS OUTLOOK,Trond Morten Trondsen
8:49:23,rn,,
