Sist endret d,Dok # Tittel,Applikasjon,Saksbehandler
ato,,,
09.01.2018,50858 Statsbudsjettet for 2018 Kap. 270,MS OUTLOOK,Torgunn Kveberg
,post 74 Tilskudd til studentsamski,,
,"pnadene, Kunnskapsdepartementet",,
,8.1.18,,
