,,SiOs postliste 27.8. 2.9.2018,
Sist endret d,Dok # Tittel,Applikasjon,Saksbehandler
ato,,,
31.08.2018,52552 Brenneriveien 11 Vurdering av be,MS OUTLOOK,Torgunn Kveberg
,"handlingstid etter offentlig ettersyn,",,
,PBE 31.8.18,,
30.08.2018,52550 Tilsagn om tilskudd til studentboligb,MS OUTLOOK,Torgunn Kveberg
,"ygging for 2018, Kunnskapsdeparte",,
,mentet 30.8.18,,
29.08.2018,52541 Høring Endringer i universitets og,MS OUTLOOK,Torgunn Kveberg
,høyskoleloven og høyskoleloven o,,
,"g fagskoleloven studentombud, tr",,
,akassering og tilrettelegging av læri,,
,"ngsmiljø, Kunnskapsdepartementet",,
,29.8.2018,,
