,,SiOs postliste 10.12. 14.12.2018,
Sist endret d,Dok # Tittel,Applikasjon,Saksbehandler
ato,,,
14.12.2018,53438 Statsbudsjettet for 2018 Kap. 270,MS OUTLOOK,Torgunn Kveberg
,"post 74, Tilskudd til studentsamski",,
,"pnadene, supplerende tilskuddsbre",,
,v fra Kunnskapsdepartementet 14.,,
,12.18,,
13.12.2018,53425 Korreksjon av brev av 7.12.18 vedr,MS OUTLOOK,Torgunn Kveberg
,"avhending av Bjerke studenthus, n",,
,ytt brev fra Kunnskapsdepartement,,
,et 11.12.18,,
11.12.2018,"53408 Avhending av Bjerke studenthus, b",MS OUTLOOK,Torgunn Kveberg
,rev fra Kunnskapsdepartementet a,,
,v 7.12.18,,
