,,SiOs postliste 4.3.2019 10.3.2019,
Sist endret d,Dok # Tittel,Applikasjon,Saksbehandler
ato,,,
08.03.2019,53929 Semestermerker_høsten_2019,MS WORD,Nina Langeland
06.03.2019,53904 Høring Forslag til endinger i unive,MS OUTLOOK,Torgunn Kveberg
,rsitets og høyskoleloven vilkår fo,,
,r statstilskudd til privat høyere utda,,
,"nning, Kunnskapsdepartementet 1.",,
,3.19,,
05.03.2019,53895 Vedrørende årsrapportering for 20,MS OUTLOOK,Torgunn Kveberg
,"18, Kunnskapsdepartementet 5.3.1",,
,9,,
