Dok # Dokumentnavn,Virksomhet,Retning,Opprettet dato,Dok. dato
13049 Bekreftelse oppsigelse leie paviljong Kjeller,SE,INN,28.02.2011,
13110 Aurskog-Høland oppsigelse,KS,UT,01.03.2011,
13078 Avtale om fristasjon mellom UiO og SiO,SI,INN,01.03.2011,
13107 Driftsavtale - A-konto Avantor Drift AS,SI,INN,01.03.2011,
13084 Søknad om støtte fra UIO - OD idrett,SL,UT,01.03.2011,
13100 Søknad Kulturforståelse med IAESTE,SL,INN,01.03.2011,
13101 Søknad International Evening,SL,INN,01.03.2011,
13134 Varsel om sameiermøte - Pilestredet park økodrift (PPØ),SE,INN,02.03.2011,02.03.2011
"13158 Prosjekt 413 - Grünerløkka, Varmepumper, Bestilling Enøkanalyse",SE,UT,04.03.2011,
"13160 Prosjekt 413, Grünerløkka varmepumper - Tilbud Enøkanalyse Cow",SE,INN,04.03.2011,
i as,,,,
13162 Avtale mellom Diakonhjemmets høgskole og SiO,SI,INN,04.03.2011,
13164 Avtale om snøbrøyting 2010 - 2011,SI,INN,04.03.2011,
13165 Leieavtale Kaffeknappen Norge,SI,INN,04.03.2011,
13171 Mar Invest,SE,INN,04.03.2011,
,www.sio.no,,,
