SiOs postlisten 15. - 19.08.2011,,,,
Dok # Dokumentnavn,Virksomhet,Retning,Opprettet dato,Dok. dato
"16039 Godkjent søknad om å stå på stand SV, NHA og Biologi",KAR,INN,17.08.2011,
16042 Godkjent søknad om flyers i kafeene,KAR,INN,17.08.2011,
16024 Godkjent søknad om banner VB,KAR,INN,16.08.2011,
16082 FW: Invitasjon,SI,INN,18.08.2011,
16092 Prisutdeling årets studetforening 2011 Magnus Nystrand stiller so,SL,INN,18.08.2011,
m konferensier,,,,
16117 Fordeling av innkomna mynter fra avdelinger og automater,SKA,INN,18.08.2011,
16015 Søknad om banner VB under behandling,KAR,UT,16.08.2011,
16028 Søknad om stand på ALD og flyers på Frederikkeplassen,KAR,UT,16.08.2011,
"16033 Søknad om å stå på stand SV, NHA og Biologi",KAR,UT,16.08.2011,
16040 Forespørsel om kvalitetssikring av data,KS,UT,17.08.2011,
16045 Forespørsel om data til brukerregister,KS,UT,17.08.2011,
16048 Epost sendt til studentforeninger i forkant av ALD,KAR,UT,17.08.2011,
16142 268 Fortetting Bjerke - Bestilling elektro - Østreng as,SE,UT,19.08.2011,
16143 268 fortetting Bjerke- Bestilling rørarbeider,SE,UT,19.08.2011,19.08.2011
16144 268 Bjerke studenthus- bestilling ventilasjonsarbeider,SE,UT,19.08.2011,19.08.2011
16060 Brev til Amatøren Sogn 2012,SB,UT,17.08.2011,
"16070 294 PIL 36, Generaloppussing - Avtale levering av energimåleruts",SE,UT,18.08.2011,
tyr fra BKK,,,,
16093 Søknad om stand HF,KAR,UT,18.08.2011,
16094 Søknad om stand UV,KAR,UT,18.08.2011,
16095 Søknad om stand JUS,KAR,UT,18.08.2011,
16123 Brev til leverandør renholdstjenester,KS,UT,18.08.2011,
,www.sio.no,,,
